_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
terracotta,77,148000.0,1386940.6233766233,2560000.0000000107,1.7474402730375427,77,0.37662337662337664,0.8888888888888888,0.8636192054944954,-0.026288233510334956,77,0.3116883116883117,0.2987012987012987,0.027202072538860103,0.00037747370801764107,0.012991107454326568,False
turquoise,100,185000.0,2146442.55,5400000.0,1.2012531328320804,100,0.3,1.0,0.8628131717681895,0.009261596884109042,100,0.36,0.38,0.03234435034140558,0.00039170506912442396,0.011139974023378959,False
cream,78,317500.0,2241388.730769231,2300000.0,4.07278156996587,78,0.4230769230769231,0.7726525392765802,0.8515063455537927,-0.0052522584531037135,78,0.34615384615384615,0.2692307692307692,0.031166806311967603,0.00026315298507462685,0.008115825860427835,False
red,122,251500.0,2072928.4180327868,4040000.0000000033,2.2448453608247423,121,0.3884297520661157,0.7964635163779049,0.8486030292435336,-0.026765101635014162,121,0.35537190082644626,0.30327868852459017,0.04047715672348485,0.00037434463276836156,0.008956733637045754,False
black,896,236500.0,2328829.0412946427,3800000.0,2.193723717409588,894,0.38031319910514544,0.9754082626531206,0.8393930198573696,-0.027632955562584865,894,0.34116331096196867,0.3247767857142857,0.03292016806722689,0.0003511739330593872,0.009027081243731194,False
dark blue,4,243650.0,3839850.0,10482700.000000002,7.124140752864157,4,0.75,1.009564476271498,0.8349541393015317,0.05892175970076163,4,0.25,0.25,0.0763455594818957,0.0005363984674329502,0.005881529197591374,True
light blue,10,61200.0,102762.3,227999.99999999997,1.8404611650485436,10,0.2,0.5131197884722585,0.8278936082594494,-0.1653979289081674,10,0.2,0.1,0.018611670020120725,0.0009331372309943303,0.02521400778210117,True
purple,75,211000.0,2621269.7333333334,4000000.0,1.8890194235588973,74,0.32432432432432434,0.5987261146496815,0.8170633953715942,-0.14596805676339125,74,0.25675675675675674,0.22666666666666666,0.0465070797932676,0.0003512471991037132,0.008354684192937507,False
peach,8,70700.0,3523200.0,8959999.999999996,1.106127450980392,8,0.125,1.0687203791469195,0.7979940815704722,-0.12655973309058563,8,0.25,0.25,0.0432695652173913,0.0004111781609195402,0.004955972312390845,True
dark brown,1,6848.0,6848.0,6848.0,3.424,1,0.0,0.017380710659898477,0.7796500852603889,-0.10810026928052852,1,0.0,0.0,0.006425233644859813,,,True
teal,61,71100.0,2068027.7049180327,2600000.0,1.0797554347826086,60,0.25,0.8875255623721882,0.7607421366252465,-0.1757267269750465,60,0.2833333333333333,0.2786885245901639,0.036109166666666664,0.0005168558651530788,0.011629959213903281,False
rust,1,772000.0,772000.0,772000.0,0.772,1,0.0,1.5409181636726548,0.7570131416516308,-0.12089658113764634,1,0.0,1.0,0.04045336787564767,0.0020803108808290153,0.05142491194364393,True
amber,10,101500.0,5637913.1,5877299.99999998,3.774005424954792,10,0.4,0.7489735122094775,0.53042788457367,-0.38149098497138206,10,0.3,0.2,0.09120051085568327,0.00048230502716735673,0.007384099596299432,True
light brown,7,359000.0,303518.71428571426,568000.0,1.7259615384615385,7,0.2857142857142857,0.6767200754005656,0.4814729504732564,-0.19155806782904564,7,0.2857142857142857,0.2857142857142857,0.028050314465408805,0.0005514011272525203,0.01997376855248606,True
tan,10,36950.0,170590.4,294599.99999999965,0.7233333333333334,10,0.0,0.2972677595628415,0.45204892987013695,-0.4827619261808088,10,0.0,0.1,0.03226854181887058,0.0006188507162861625,0.017063946236333893,True
burgundy,5,81900.0,69740.0,107280.0,6.825,5,0.6,0.3132569558101473,0.4450790281888234,-0.15850598156026033,5,0.2,0.0,0.02669108669108669,0.000525030525030525,0.019670631290027447,True
mauve,2,151600.0,151600.0,239920.0,3.2971021492393144,2,0.5,0.26353162126908125,0.36544939547527144,-0.4756669921973245,2,0.0,0.0,0.05467305269398948,0.0005090231972133699,0.006845902635376319,True
maroon,3,4090.0,31773.0,72338.0,0.3425287356321839,3,0.0,0.5254992098836374,0.3411258334922356,-0.38683602607604967,3,0.0,0.3333333333333333,0.04963325183374083,0.00964250942168108,0.21169818316648126,True
taupe,9,30300.0,246626.55555555556,688400.0,1.0396825396825398,9,0.1111111111111111,0.30356976852282236,0.2992036466285645,-0.3411119959878076,9,0.1111111111111111,0.1111111111111111,0.017453183520599252,0.0016666666666666668,0.04727272727272727,True
navy blue,2,44600.0,44600.0,68840.0,0.11682622896499492,2,0.0,0.5418490673772364,0.237956284116962,-0.6507274789864599,2,0.0,0.0,0.03544829002772928,0.0017416695454078631,0.043288319339816805,True
light grey,1,84200.0,84200.0,84200.0,0.13646677471636953,1,0.0,0.5038898862956314,0.20560867323650256,-0.6869585693494,1,0.0,0.0,0.007933491686460807,0.0005225653206650831,0.0658682634730539,True
ochre,1,226.0,226.0,226.0,0.3698854337152209,1,0.0,1.0,0.18058721206819162,-0.7433130066518204,1,0.0,0.0,0.004424778761061947,,,True
lavender,1,14500.0,14500.0,14500.0,0.7631578947368421,1,0.0,0.015474919957310566,0.06001543597254222,-1.221737034691013,1,0.0,0.0,0.024344827586206895,,,True
