handle,followers,n,median_views,median_vpf,share_above_topic_median,share_ai_or_3d,share_high_quality,share_shoppable,account_kind,top_topic_groups,earliest_known_post,followers_per_day_since_first_known_post,observed_monetization_types,deep_profiled,score_virality,score_consistency,score_reach,score_growth,score_repeatability,score_ai_suitability,score_monetizability,score_quality,score_originality,score_total,rank,outperformer
myplants.uae,123000.0,2,8278500.0,67.30487804878048,1.0,1.0,1.0,1.0,contractor_trade,ai,2026-05-12,904.4117647058823,3,True,0.935,0.881,0.943,0.562,0.318,0.793,0.981,0.753,0.655,0.7824,1,True
archibible,220000.0,2,7373000.0,33.513636363636365,1.0,1.0,1.0,0.0,ai_creator,ai,2025-05-15,441.7670682730924,4,True,0.889,0.881,0.935,0.337,0.318,0.793,0.981,0.753,0.655,0.75,2,True
design_x_interior,88000.0,2,8895000.0,102.2159090909091,1.0,1.0,1.0,0.5,designer_studio,luxury_room,2026-01-31,371.30801687763716,1,True,0.969,0.881,0.954,0.236,0.318,0.793,0.858,0.753,0.655,0.7456,3,True
elarch.studio,540000.0,3,5500000.0,10.185185185185185,0.6666666666666666,1.0,1.0,0.3333333333333333,designer_studio,luxury_home,2024-09-14,728.744939271255,2,True,0.747,0.644,0.912,0.472,0.718,0.793,0.904,0.753,0.655,0.7414,4,True
georgios_tataridis,321000.0,2,2630500.0,8.194704049844237,1.0,1.0,1.0,1.0,designer_studio,luxury_room;location,2026-01-22,1304.878048780488,2,True,0.701,0.881,0.828,0.708,0.318,0.793,0.939,0.753,0.655,0.7346,5,True
sunt_mrr,2000000.0,9,2900000.0,1.45,0.8888888888888888,1.0,1.0,0.0,ai_creator,location;ai;unusual_home,2024-09-04,2663.115845539281,2,True,0.341,0.755,0.841,0.843,0.989,0.793,0.877,0.753,0.655,0.7256,6,False
aiforarchitects,1000000.0,7,2000000.0,2.0,0.8571428571428571,1.0,1.0,0.14285714285714285,ai_creator,luxury_home;location;hotel_resort,2024-06-10,1194.7431302270013,2,True,0.412,0.747,0.774,0.674,0.969,0.793,0.893,0.753,0.655,0.7151,7,False
soothenests,2000000.0,4,6950000.0,3.4749999999999996,1.0,1.0,0.5,0.5,theme_page,luxury_room;ai,2024-08-29,2642.007926023778,2,True,0.544,0.881,0.927,0.831,0.854,0.793,0.908,0.274,0.19,0.7049,8,False
neuraltransform,83000.0,3,1600000.0,19.27710843373494,0.6666666666666666,1.0,1.0,0.0,ai_creator,pool;garden_outdoor;ai,2026-02-27,395.23809523809524,1,True,0.824,0.644,0.743,0.27,0.718,0.793,0.701,0.753,0.655,0.6994,9,True
stylishnorrastudios,40000.0,2,2227500.0,55.6875,1.0,0.5,1.0,1.0,designer_studio,architecture;style,2026-06-20,412.37113402061857,2,True,0.927,0.881,0.797,0.303,0.318,0.51,0.939,0.753,0.655,0.6937,10,True
watchthebuild,107000.0,4,497000.0,4.668180215129607,0.75,1.0,1.0,1.0,ai_creator,room_generic;style,2026-07-04,1289.1566265060242,0,True,0.609,0.713,0.475,0.697,0.854,0.793,0.701,0.753,0.655,0.6928,11,False
syifa_in_switzerland,3000000.0,3,6600000.0,12.002833333333333,0.6666666666666666,0.0,1.0,0.0,lifestyle_influencer,location,2025-08-20,7481.296758104738,1,True,0.766,0.644,0.923,0.933,0.718,0.238,0.701,0.753,0.655,0.6889,12,True
siriorsinterior,547000.0,2,2104000.0,3.846435100548446,1.0,1.0,1.0,1.0,designer_studio,luxury_room,2025-01-17,887.987012987013,1,True,0.567,0.881,0.793,0.528,0.318,0.793,0.877,0.753,0.655,0.6802,13,False
nostalgicraindrops,713000.0,3,3900000.0,5.46984572230014,1.0,0.6666666666666666,1.0,0.3333333333333333,theme_page,cozy_ambience,2024-05-30,840.8018867924528,1,True,0.648,0.881,0.874,0.506,0.718,0.546,0.854,0.753,0.19,0.6795,14,True
zaxzaaafrica,65000.0,2,650000.0,10.0,1.0,1.0,1.0,1.0,designer_studio,hotel_resort,2026-05-21,511.81102362204723,2,True,0.736,0.881,0.554,0.36,0.318,0.793,0.939,0.753,0.655,0.6793,15,True
siyad_abdali,4000000.0,6,4550000.0,1.1375,0.6666666666666666,1.0,1.0,0.6666666666666666,ai_creator,fantasy_dream;room_generic;cozy_ambience,2024-07-11,4962.779156327543,0,True,0.299,0.644,0.885,0.899,0.956,0.793,0.525,0.753,0.655,0.6776,16,False
diniz_nasaroba,293000.0,2,13100000.0,44.7098976109215,1.0,1.0,1.0,0.5,ai_creator,garden_outdoor,,,0,False,0.904,0.881,0.973,0.0,0.318,0.793,0.452,0.753,0.655,0.6703,17,True
roomify.design,62000.0,7,337000.0,5.435483870967742,0.5714285714285714,1.0,1.0,1.0,ai_creator,luxury_room;interior_generic;room_generic,2026-02-20,285.7142857142857,2,True,0.644,0.577,0.352,0.202,0.969,0.793,0.939,0.753,0.655,0.6597,18,True
urban_lifestyle_lab,250000.0,4,1060000.0,4.24,0.75,1.0,1.0,0.25,ai_creator,future_arch;luxury_home,2025-10-04,702.2471910112359,0,True,0.602,0.713,0.674,0.438,0.854,0.793,0.36,0.753,0.655,0.6513,19,False
montani3d,603000.0,4,684500.0,1.135157545605307,0.75,1.0,0.75,0.25,ai_creator,ai,2026-01-19,2421.6867469879517,3,True,0.295,0.713,0.575,0.809,0.854,0.793,0.962,0.454,0.655,0.6474,20,False
ell.glamhome,1000000.0,2,4750000.0,4.75,1.0,0.0,1.0,1.0,lifestyle_influencer,luxury_room;room_generic,2024-11-15,1472.7540500736377,2,True,0.613,0.881,0.893,0.742,0.318,0.238,0.939,0.753,0.655,0.6435,21,False
recastliving,47000.0,2,904500.0,19.24468085106383,1.0,1.0,1.0,0.5,ai_creator,ai;garden_outdoor,2026-05-12,345.5882352941176,0,True,0.82,0.881,0.636,0.213,0.318,0.793,0.452,0.753,0.655,0.6411,22,True
vrishtidesigns,2000000.0,4,466000.0,0.23299999999999998,0.75,1.0,1.0,1.0,designer_studio,location;luxury_home;luxury_room,2025-06-05,4192.8721174004195,2,True,0.111,0.713,0.456,0.888,0.854,0.793,0.939,0.753,0.655,0.6342,23,False
juliagal_,4000000.0,4,4591500.0,1.147875,0.75,0.0,1.0,0.0,lifestyle_influencer,hotel_resort,2025-01-18,6504.065040650406,2,True,0.303,0.713,0.889,0.921,0.854,0.238,0.877,0.753,0.655,0.6297,24,False
abdullahaslanoglu_,68000.0,2,5193500.0,76.375,0.5,1.0,1.0,0.5,designer_studio,luxury_home;luxury_room,2024-08-12,87.85529715762274,0,True,0.954,0.397,0.9,0.045,0.318,0.793,0.452,0.753,0.655,0.629,25,True
abeastinside,182000.0,3,1200000.0,6.593406593406593,0.6666666666666666,0.0,1.0,0.0,theme_page,style,2026-06-03,1596.4912280701753,2,True,0.682,0.644,0.693,0.764,0.718,0.238,0.877,0.753,0.19,0.6265,26,True
miladeshtiyaghi,642000.0,5,381000.0,0.5934579439252337,0.6,1.0,1.0,0.0,designer_studio,unusual_home;style,2025-06-28,1414.0969162995596,3,True,0.195,0.588,0.406,0.73,0.927,0.793,0.939,0.753,0.655,0.6251,27,False
manhwa_diablo,331000.0,2,39552000.0,119.49244712990937,1.0,0.5,0.0,0.5,theme_page,garden_outdoor,2026-01-29,1384.937238493724,0,False,0.973,0.881,0.996,0.719,0.318,0.51,0.452,0.065,0.19,0.6237,28,True
visionbuildofficial,50000.0,3,2300000.0,46.0,0.6666666666666666,1.0,0.6666666666666666,0.0,ai_creator,architecture;luxury_home;future_arch,2026-01-31,210.9704641350211,0,True,0.91,0.644,0.807,0.135,0.718,0.793,0.172,0.412,0.655,0.6225,29,True
paulmarkkitchens,304000.0,2,68350000.0,224.83552631578948,1.0,0.0,0.0,1.0,brand_manufacturer,room_generic,2024-10-15,428.16901408450707,3,True,0.989,0.881,1.0,0.315,0.318,0.238,0.981,0.065,0.655,0.6221,30,True
harmosai,57000.0,7,468000.0,8.210526315789474,0.5714285714285714,1.0,0.7142857142857143,0.0,ai_creator,future_arch;location;unusual_home,2025-07-15,130.43478260869566,1,True,0.705,0.577,0.46,0.067,0.969,0.793,0.701,0.441,0.655,0.6142,31,True
arteo_luxury,871000.0,5,798000.0,0.9161882893226176,0.6,1.0,0.8,1.0,designer_studio,luxury_room;interior_generic,2024-03-02,929.5624332977588,2,True,0.249,0.588,0.602,0.584,0.927,0.793,0.939,0.475,0.655,0.613,32,False
wayup_media,942000.0,12,3050000.0,3.2412327311370883,0.9166666666666666,0.0,1.0,0.16666666666666666,media_publication,luxury_home;unusual_home;real_estate,2022-12-02,676.2383345297918,2,True,0.529,0.759,0.851,0.427,0.989,0.238,0.897,0.753,0.036,0.6106,33,False
georgewu_udhkids,45000.0,2,1110500.0,24.677777777777777,1.0,1.0,0.5,1.0,designer_studio,room_generic,,,0,False,0.858,0.881,0.686,0.0,0.318,0.793,0.701,0.274,0.655,0.6094,34,True
elitebuildhq,2000000.0,6,4000000.0,2.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.3333333333333333,theme_page,unusual_home;architecture;ai,2026-04-09,11834.31952662722,0,True,0.412,0.644,0.877,0.955,0.956,0.546,0.379,0.489,0.19,0.6037,35,False
swissaround,3000000.0,2,27300000.0,9.1,1.0,0.0,1.0,0.0,lifestyle_influencer,location,2022-10-01,2061.855670103093,0,False,0.72,0.881,0.981,0.787,0.318,0.238,0.172,0.753,0.655,0.6016,36,True
tucasad3co,273000.0,2,1550000.0,5.689102564102564,1.0,1.0,1.0,1.0,theme_page,room_generic;style,,,0,False,0.651,0.881,0.739,0.0,0.318,0.793,0.701,0.753,0.19,0.598,37,True
olena_prykhodko_design,308000.0,3,1000000.0,3.2467532467532467,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,designer_studio,room_generic;style,2026-01-24,1262.295081967213,1,True,0.533,0.644,0.657,0.685,0.718,0.546,0.877,0.146,0.655,0.5939,38,False
day_design_101,145000.0,2,5300000.0,36.772030651341,1.0,1.0,0.5,0.5,theme_page,garden_outdoor,,,0,False,0.893,0.881,0.908,0.0,0.318,0.793,0.452,0.274,0.19,0.5903,39,True
spacesbylaura,43000.0,3,481000.0,11.186046511627907,0.6666666666666666,1.0,1.0,0.6666666666666666,theme_page,style,,,0,False,0.755,0.644,0.467,0.0,0.718,0.793,0.525,0.753,0.19,0.5901,40,True
uniqchalets,684000.0,4,1475500.0,2.1571637426900585,0.75,0.0,1.0,1.0,theme_page,location;unusual_home,2024-08-20,892.9503916449086,4,True,0.433,0.713,0.728,0.539,0.854,0.238,0.99,0.753,0.19,0.5895,41,False
fromrawto_real,40000.0,4,403500.0,10.0875,0.25,1.0,1.0,0.75,ai_creator,garden_outdoor;room_generic;ai,2026-02-23,186.9158878504673,0,False,0.743,0.157,0.421,0.112,0.854,0.793,0.552,0.753,0.655,0.5854,42,True
rodnova_installation_,41000.0,2,647500.0,15.792682926829269,0.5,1.0,1.0,1.0,contractor_trade,luxury_room,,,0,False,0.808,0.397,0.544,0.0,0.318,0.793,0.701,0.753,0.655,0.5847,43,True
architect_hitesh,262000.0,2,7574500.0,28.910305343511453,0.5,1.0,1.0,0.0,designer_studio,luxury_home,,,0,False,0.874,0.397,0.939,0.0,0.318,0.793,0.172,0.753,0.655,0.5843,44,True
relaxationreflections_,12000.0,2,3026250.0,252.1875,0.5,1.0,0.0,1.0,ai_creator,cozy_ambience,,,0,False,0.992,0.397,0.847,0.0,0.318,0.793,0.701,0.065,0.655,0.583,45,True
travelask.world,681000.0,6,1300000.0,1.9089574155653453,0.8333333333333334,0.8333333333333334,1.0,0.16666666666666666,media_publication,location;hotel_resort;unusual_home,2025-01-28,1125.6198347107438,0,True,0.391,0.741,0.701,0.663,0.956,0.577,0.349,0.753,0.036,0.5828,46,False
exploringdreamhomes,177000.0,5,556000.0,3.1412429378531073,0.8,1.0,0.8,0.2,theme_page,ai;fantasy_dream;luxury_home,2026-02-05,762.9310344827586,0,True,0.521,0.734,0.513,0.483,0.927,0.793,0.352,0.475,0.19,0.5812,47,False
astralgate.ai,44000.0,2,2061850.0,46.86022727272727,0.5,1.0,1.0,0.0,ai_creator,ai,,,0,False,0.92,0.397,0.785,0.0,0.318,0.793,0.172,0.753,0.655,0.5782,48,True
renovaistudio,11000.0,2,506000.0,46.0,0.5,1.0,1.0,0.5,ai_creator,ai;garden_outdoor,,,0,False,0.91,0.397,0.485,0.0,0.318,0.793,0.452,0.753,0.655,0.5741,49,True
diycraftstvofficial,6000000.0,4,3450000.0,0.575,0.75,1.0,0.75,0.0,theme_page,unusual_home;pool,2026-01-03,22641.509433962263,0,False,0.188,0.713,0.866,1.0,0.854,0.793,0.172,0.454,0.19,0.5719,50,False
lisi.quietdiaries,153000.0,2,11412000.0,74.58823529411765,0.5,0.0,1.0,1.0,lifestyle_influencer,luxury_room,,,0,False,0.95,0.397,0.962,0.0,0.318,0.238,0.701,0.753,0.655,0.5715,51,True
glashaus.realestate,296000.0,5,791000.0,2.6722972972972974,1.0,0.0,0.8,1.0,real_estate,location,2023-10-19,276.1194029850746,4,True,0.483,0.881,0.598,0.191,0.927,0.238,0.99,0.475,0.655,0.5712,52,False
ai.design.ideas,136000.0,3,343000.0,2.5220588235294117,1.0,1.0,0.6666666666666666,0.6666666666666666,ai_creator,style,2025-12-31,507.46268656716416,0,True,0.467,0.881,0.372,0.348,0.718,0.793,0.525,0.412,0.655,0.5708,53,False
anderalencar,478000.0,2,2363000.0,4.943514644351465,1.0,1.0,1.0,0.0,designer_studio,ai,,,0,False,0.625,0.881,0.816,0.0,0.318,0.793,0.172,0.753,0.655,0.5707,54,False
whatif.real,385000.0,2,2047500.0,5.3181818181818175,1.0,1.0,1.0,0.0,ai_creator,location;unusual_home,,,0,False,0.636,0.881,0.782,0.0,0.318,0.793,0.172,0.753,0.655,0.5695,55,True
aureliestory,3000000.0,5,3200000.0,1.0666666666666667,1.0,0.0,1.0,0.0,lifestyle_influencer,location;pool,2024-05-06,3440.3669724770643,0,False,0.268,0.881,0.86,0.876,0.927,0.238,0.172,0.753,0.655,0.5691,56,False
divaa.finds,764000.0,5,1500000.0,1.963350785340314,0.8,0.0,0.4,0.8,lifestyle_influencer,luxury_room;cozy_ambience;room_generic,2024-10-31,1100.864553314121,3,True,0.402,0.734,0.732,0.652,0.927,0.238,0.973,0.161,0.655,0.5667,57,False
beautifuldestinations,24000000.0,3,2300000.0,0.09583333333333334,1.0,0.0,1.0,0.3333333333333333,media_publication,hotel_resort;location,2022-07-13,15635.179153094463,5,True,0.073,0.881,0.807,0.978,0.718,0.238,0.996,0.753,0.036,0.5653,58,False
vesgantti_home,22000.0,2,1356000.0,61.63636363636364,1.0,0.5,0.5,1.0,theme_page,room_generic,,,0,False,0.931,0.881,0.713,0.0,0.318,0.51,0.701,0.274,0.19,0.5608,59,True
idw.design,318000.0,3,226000.0,0.710691823899371,0.6666666666666666,1.0,1.0,0.0,designer_studio,style;future_arch,2025-10-10,908.5714285714286,1,True,0.218,0.644,0.253,0.573,0.718,0.793,0.701,0.753,0.655,0.5596,60,False
thetrillionairelife,13000000.0,3,1100000.0,0.08461538461538462,1.0,0.6666666666666666,0.6666666666666666,0.0,theme_page,future_arch;location;luxury_home,2024-07-31,16539.440203562343,2,True,0.057,0.881,0.682,0.989,0.718,0.546,0.877,0.412,0.19,0.5588,61,False
vishnu_xo,406000.0,4,277500.0,0.6834975369458127,0.5,1.0,1.0,1.0,designer_studio,luxury_room;style,2025-08-20,1012.4688279301746,0,False,0.215,0.397,0.295,0.64,0.854,0.793,0.701,0.753,0.655,0.5587,62,False
architectcha,148000.0,4,542000.0,3.6621621621621623,0.5,1.0,1.0,0.0,ai_creator,future_arch;ai,2025-09-19,398.92183288409706,0,True,0.556,0.397,0.502,0.281,0.854,0.793,0.172,0.753,0.655,0.5587,63,False
journey.to_serenity,15000.0,2,240800.0,16.053333333333335,0.5,1.0,1.0,1.0,ai_creator,ai;cozy_ambience,,,0,False,0.812,0.397,0.264,0.0,0.318,0.793,0.701,0.753,0.655,0.5575,64,True
facade_designn,47000.0,6,678000.0,14.425531914893616,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,theme_page,future_arch;ai;unusual_home,2025-11-25,154.60526315789474,0,True,0.789,0.741,0.571,0.09,0.956,0.577,0.172,0.489,0.19,0.5557,65,True
cabinstillwoods,18000.0,4,224650.0,12.480555555555556,0.5,1.0,1.0,0.0,ai_creator,unusual_home,2026-03-19,94.73684210526316,0,True,0.778,0.397,0.249,0.056,0.854,0.793,0.172,0.753,0.655,0.5554,66,True
quaintandsimple,26000.0,2,1803000.0,69.34615384615384,1.0,0.0,0.5,1.0,lifestyle_influencer,pool,,,0,False,0.943,0.881,0.762,0.0,0.318,0.238,0.701,0.274,0.655,0.5506,67,True
shanwicki,60000.0,3,2900000.0,48.333333333333336,0.6666666666666666,0.0,0.0,1.0,lifestyle_influencer,hotel_resort,,,0,False,0.923,0.644,0.841,0.0,0.718,0.238,0.701,0.065,0.655,0.55,68,True
drcozyvibes,584000.0,3,421000.0,0.5753424657534247,1.0,1.0,0.6666666666666666,0.6666666666666666,theme_page,cozy_ambience;unusual_home,2024-07-02,716.5644171779142,2,True,0.192,0.881,0.444,0.461,0.718,0.793,0.912,0.412,0.19,0.5496,69,False
luxurydreamhub,1000000.0,16,868500.0,0.8685,0.6875,0.9375,0.625,0.6875,theme_page,luxury_home;luxury_room;future_arch,2025-07-24,2336.448598130841,0,True,0.241,0.693,0.617,0.798,0.989,0.582,0.544,0.383,0.19,0.5475,70,False
insmultiverse,79000.0,4,322000.0,4.075949367088608,0.5,1.0,1.0,0.25,ai_creator,future_arch;ai;luxury_room,2025-02-21,135.97246127366608,0,True,0.582,0.397,0.341,0.079,0.854,0.793,0.36,0.753,0.655,0.5466,71,False
orcadesignec,69000.0,2,444500.0,6.442028985507246,1.0,1.0,1.0,0.0,designer_studio,future_arch,,,0,False,0.674,0.881,0.448,0.0,0.318,0.793,0.172,0.753,0.655,0.5439,72,True
earthfm_net,757000.0,2,35300000.0,46.63143989431968,1.0,0.0,0.5,0.0,theme_page,cozy_ambience,2024-05-22,884.3457943925233,0,False,0.916,0.881,0.989,0.517,0.318,0.238,0.172,0.274,0.19,0.5434,73,True
jusathome,184000.0,2,1313000.0,7.135869565217391,1.0,0.0,1.0,1.0,lifestyle_influencer,room_generic;luxury_room,,,0,False,0.69,0.881,0.709,0.0,0.318,0.238,0.701,0.753,0.655,0.5425,74,True
clarazrd,297000.0,2,36800000.0,123.9057239057239,1.0,0.0,0.0,0.0,lifestyle_influencer,luxury_home,2024-11-17,438.70014771048744,0,False,0.977,0.881,0.992,0.326,0.318,0.238,0.172,0.065,0.655,0.5393,75,True
ravnix23,11000.0,2,235485.5,21.407772727272725,0.5,1.0,1.0,1.0,theme_page,room_generic,,,0,False,0.839,0.397,0.261,0.0,0.318,0.793,0.701,0.753,0.19,0.5392,76,True
jetset_anna,711000.0,2,10500000.0,14.767932489451477,1.0,0.0,1.0,0.0,lifestyle_influencer,location,,,0,False,0.793,0.881,0.958,0.0,0.318,0.238,0.172,0.753,0.655,0.5352,77,True
almostlove21,175000.0,2,4850000.0,13.714285714285714,1.0,0.0,0.5,1.0,lifestyle_influencer,fantasy_dream;cozy_ambience,,,0,False,0.785,0.881,0.897,0.0,0.318,0.238,0.701,0.274,0.655,0.5326,78,True
tuesday_leroux,1000000.0,2,5850000.0,5.85,1.0,0.0,1.0,0.5,lifestyle_influencer,luxury_home,,,0,False,0.659,0.881,0.916,0.0,0.318,0.238,0.452,0.753,0.655,0.5322,79,True
hafezi.architects,606000.0,4,368000.0,0.6072607260726073,0.5,0.75,1.0,0.25,designer_studio,location;interior_generic;unusual_home,2024-05-31,715.4663518299882,2,True,0.199,0.397,0.393,0.449,0.854,0.563,0.9,0.753,0.655,0.5317,80,False
naturesms,10000000.0,8,386000.0,0.038599999999999995,0.875,1.0,0.875,0.375,theme_page,unusual_home;future_arch;pool,2024-09-12,13458.950201884252,0,True,0.008,0.751,0.41,0.966,0.989,0.793,0.395,0.496,0.19,0.5306,81,False
_crystalvisual,10000.0,2,945850.0,94.585,0.5,1.0,0.5,0.0,ai_creator,luxury_room,,,0,False,0.966,0.397,0.644,0.0,0.318,0.793,0.172,0.274,0.655,0.5253,82,True
homelove.bylaura,70000.0,2,1473500.0,21.05,0.5,0.0,1.0,1.0,lifestyle_influencer,room_generic;decor_commerce,,,0,False,0.835,0.397,0.724,0.0,0.318,0.238,0.701,0.753,0.655,0.5247,83,True
jareef__saifi,339000.0,5,192000.0,0.5663716814159292,0.6,1.0,0.4,1.0,ai_creator,hotel_resort;luxury_room;luxury_home,2026-02-21,1569.4444444444443,0,False,0.184,0.588,0.23,0.753,0.927,0.793,0.701,0.161,0.655,0.5245,84,False
soldbytyler,12000.0,2,5250000.0,437.5,1.0,0.0,0.5,0.0,real_estate,real_estate;location,,,0,False,1.0,0.881,0.904,0.0,0.318,0.238,0.172,0.274,0.655,0.5234,85,True
capsulecastle2025,191000.0,2,4140500.0,21.67801047120419,1.0,0.0,0.0,1.0,brand_manufacturer,fantasy_dream,,,0,False,0.847,0.881,0.881,0.0,0.318,0.238,0.701,0.065,0.655,0.5224,86,True
luxquisit,190000.0,4,541000.0,2.8473684210526313,0.25,0.75,0.75,0.0,theme_page,location;hotel_resort;pool,2025-10-12,545.9770114942529,3,True,0.494,0.157,0.498,0.393,0.854,0.563,0.939,0.454,0.19,0.5224,87,False
lawrencewalton_,547000.0,4,1001000.0,1.829981718464351,0.75,0.0,1.0,0.0,lifestyle_influencer,location;hotel_resort,2025-03-30,1005.5147058823529,0,False,0.383,0.713,0.663,0.618,0.854,0.238,0.172,0.753,0.655,0.5223,88,False
karim.eltaher.designs,934000.0,2,1700000.0,1.8208743869216062,1.0,1.0,0.5,1.0,designer_studio,luxury_room,,,0,False,0.379,0.881,0.751,0.0,0.318,0.793,0.701,0.274,0.655,0.5201,89,False
rendair.ai,189000.0,3,138000.0,0.7301587301587301,1.0,1.0,0.3333333333333333,0.6666666666666666,brand_manufacturer,ai,2025-06-12,402.1276595744681,3,True,0.222,0.881,0.188,0.292,0.718,0.793,0.966,0.146,0.655,0.5152,90,False
kika.baut,21000.0,2,610000.0,29.047619047619047,1.0,0.0,0.5,1.0,lifestyle_influencer,hotel_resort;luxury_room,,,0,False,0.877,0.881,0.536,0.0,0.318,0.238,0.701,0.274,0.655,0.5149,91,True
kelseyinlondon,794000.0,2,3200000.0,4.030226700251889,1.0,0.0,1.0,0.5,lifestyle_influencer,hotel_resort;location,,,0,False,0.579,0.881,0.86,0.0,0.318,0.238,0.452,0.753,0.655,0.5105,92,False
diachok.architects,156000.0,2,414000.0,2.6538461538461537,0.5,1.0,1.0,1.0,designer_studio,luxury_room;style,,,0,False,0.479,0.397,0.441,0.0,0.318,0.793,0.701,0.753,0.655,0.5084,93,False
2pdesigners,134000.0,5,258000.0,1.9253731343283582,0.4,1.0,0.8,1.0,designer_studio,luxury_room;room_generic;luxury_home,2025-04-10,251.40712945590994,0,False,0.395,0.209,0.276,0.157,0.927,0.793,0.701,0.475,0.655,0.5052,94,False
tiatinn_,8000.0,3,1400000.0,175.0,0.6666666666666666,0.0,0.3333333333333333,0.0,real_estate,location,,,0,False,0.985,0.644,0.716,0.0,0.718,0.238,0.172,0.146,0.655,0.505,95,True
imtiazsahib33,120000.0,2,8308800.0,69.24000000000001,0.5,0.5,0.5,0.5,other,unusual_home,,,0,False,0.939,0.397,0.946,0.0,0.318,0.51,0.452,0.274,0.036,0.5047,96,True
roxy_carretero,54000.0,5,674000.0,12.481481481481481,0.4,0.0,0.4,1.0,lifestyle_influencer,decor_commerce;cozy_ambience;room_generic,2026-04-24,350.64935064935065,0,False,0.782,0.209,0.567,0.225,0.927,0.238,0.701,0.161,0.655,0.5037,97,True
goldconconstruction,27000.0,2,558500.0,20.685185185185187,0.5,0.0,1.0,1.0,contractor_trade,luxury_room,,,0,False,0.831,0.397,0.517,0.0,0.318,0.238,0.701,0.753,0.655,0.5033,98,True
digitaldesign.lab,164000.0,4,81150.0,0.49481707317073165,0.5,1.0,1.0,0.75,ai_creator,unusual_home;pool,2024-07-24,206.8095838587642,2,True,0.165,0.397,0.138,0.124,0.854,0.793,0.916,0.753,0.655,0.5028,99,False
lakecomo_boat,1000000.0,2,12400000.0,12.4,1.0,0.0,1.0,0.0,other,location,,,0,False,0.774,0.881,0.969,0.0,0.318,0.238,0.172,0.753,0.036,0.5016,100,True
tereknotderek,231000.0,2,1809350.0,7.8326839826839825,0.5,0.0,1.0,1.0,lifestyle_influencer,luxury_room;location,,,0,False,0.697,0.397,0.766,0.0,0.318,0.238,0.701,0.753,0.655,0.5013,101,True
timberwit,17000.0,2,705900.0,41.523529411764706,0.5,0.0,1.0,1.0,theme_page,luxury_home,,,0,False,0.9,0.397,0.586,0.0,0.318,0.238,0.701,0.753,0.19,0.5007,102,True
theraj_interior,148000.0,2,928350.0,6.272635135135134,0.5,1.0,0.0,1.0,designer_studio,luxury_room,,,0,False,0.67,0.397,0.64,0.0,0.318,0.793,0.701,0.065,0.655,0.4979,103,True
luxicavibe,11000.0,2,286650.0,26.05909090909091,0.5,1.0,1.0,0.0,theme_page,luxury_home,,,0,False,0.87,0.397,0.307,0.0,0.318,0.793,0.172,0.753,0.19,0.497,104,True
corcoransunshine,34000.0,2,536700.0,15.785294117647059,0.5,0.0,1.0,1.0,real_estate,luxury_home,,,0,False,0.805,0.397,0.49,0.0,0.318,0.238,0.701,0.753,0.655,0.4952,105,True
buildsinblack,55000.0,2,668250.0,12.15,0.0,1.0,1.0,0.0,ai_creator,architecture;location,,,0,False,0.77,0.073,0.559,0.0,0.318,0.793,0.172,0.753,0.655,0.4933,106,True
base9studio,151000.0,2,341500.0,2.26158940397351,0.5,1.0,1.0,1.0,designer_studio,luxury_room,,,0,False,0.441,0.397,0.356,0.0,0.318,0.793,0.701,0.753,0.655,0.4923,107,False
beautifulhotels,6000000.0,5,551000.0,0.09183333333333334,0.6,0.0,0.8,0.4,media_publication,location;unusual_home;hotel_resort,2023-08-17,5286.343612334802,5,True,0.065,0.588,0.506,0.91,0.927,0.238,1.0,0.475,0.036,0.4911,108,False
hannahandkord,94000.0,2,897000.0,9.542553191489361,1.0,0.0,1.0,0.0,lifestyle_influencer,cozy_ambience;unusual_home,,,0,False,0.732,0.881,0.632,0.0,0.318,0.238,0.172,0.753,0.655,0.4904,109,True
_vlasov_roman_,553000.0,4,270500.0,0.48915009041591323,0.5,1.0,1.0,0.0,designer_studio,luxury_home;architecture;hotel_resort,2025-02-12,937.2881355932203,0,False,0.161,0.397,0.291,0.596,0.854,0.793,0.172,0.753,0.655,0.4902,110,False
katie.fischer,555000.0,2,2450000.0,4.414414414414415,0.5,0.0,1.0,1.0,lifestyle_influencer,style;decor_commerce,,,0,False,0.605,0.397,0.824,0.0,0.318,0.238,0.701,0.753,0.655,0.4887,111,False
imaginativemike,506000.0,3,336000.0,0.6640316205533597,0.3333333333333333,1.0,1.0,0.3333333333333333,ai_creator,unusual_home;ai;cozy_ambience,2025-03-12,900.355871886121,0,True,0.211,0.184,0.349,0.551,0.718,0.793,0.379,0.753,0.655,0.4872,112,False
luxuriatehomes,803000.0,2,1203500.0,1.4987546699875467,0.5,1.0,1.0,1.0,theme_page,luxury_home;unusual_home,,,0,False,0.352,0.397,0.697,0.0,0.318,0.793,0.701,0.753,0.19,0.4855,113,False
architectanddesign,8400000.0,2,28800000.0,3.592857142857143,1.0,0.0,0.0,0.0,media_publication,architecture;pool,2024-08-19,10951.760104302477,0,False,0.552,0.881,0.985,0.944,0.318,0.238,0.172,0.065,0.036,0.4843,114,False
