handle,followers,n,median_views,median_vpf,share_above_topic_median,share_ai_or_3d,share_high_quality,share_shoppable,account_kind,top_topic_groups,earliest_known_post,followers_per_day_since_first_known_post,observed_monetization_types,deep_profiled,score_virality,score_consistency,score_reach,score_growth,score_repeatability,score_ai_suitability,score_monetizability,score_quality,score_originality,score_total,rank,outperformer
homedecorbymusfira,54000.0,2,470000.0,8.703703703703704,0.0,1.0,0.0,1.0,theme_page,luxury_room,,,0,False,0.709,0.073,0.464,0.0,0.318,0.793,0.701,0.065,0.19,0.4323,166,True
islandgal_5homedecor,497000.0,3,1000000.0,2.0161290322580645,0.6666666666666666,0.0,0.0,1.0,lifestyle_influencer,garden_outdoor;room_generic;interior_generic,,,0,False,0.421,0.644,0.657,0.0,0.718,0.238,0.701,0.065,0.655,0.4312,167,False
antt,57000.0,2,1428500.0,25.06140350877193,0.5,0.0,0.0,1.0,other,luxury_home,,,0,False,0.866,0.397,0.72,0.0,0.318,0.238,0.701,0.065,0.036,0.4307,168,True
toptravelplaces_,315000.0,2,2313850.0,7.345555555555555,0.5,0.0,1.0,0.0,theme_page,hotel_resort,,,0,False,0.693,0.397,0.812,0.0,0.318,0.238,0.172,0.753,0.19,0.429,169,True
home_designfr,83000.0,2,291000.0,3.5060240963855422,0.5,0.0,1.0,1.0,lifestyle_influencer,style;room_generic,,,0,False,0.548,0.397,0.312,0.0,0.318,0.238,0.701,0.753,0.655,0.4261,170,False
briarandlinen,21000.0,2,76989.0,3.666142857142857,0.5,0.5,1.0,1.0,theme_page,style;luxury_room,,,0,False,0.559,0.397,0.115,0.0,0.318,0.51,0.701,0.753,0.19,0.4261,171,False
richbynature09,39000.0,3,370000.0,9.487179487179487,0.6666666666666666,0.0,0.6666666666666666,0.0,theme_page,interior_generic,,,0,False,0.728,0.644,0.398,0.0,0.718,0.238,0.172,0.412,0.19,0.4252,172,True
hakatayaken,110000.0,3,649000.0,5.9,0.6666666666666666,0.0,0.3333333333333333,0.0,lifestyle_influencer,location,,,0,False,0.663,0.644,0.548,0.0,0.718,0.238,0.172,0.146,0.655,0.4238,173,True
luxxeinteriors,142000.0,2,241700.0,1.702112676056338,0.5,1.0,0.5,1.0,designer_studio,luxury_home,,,0,False,0.372,0.397,0.268,0.0,0.318,0.793,0.701,0.274,0.655,0.4218,174,False
thetenderline,11000.0,2,116550.0,10.595454545454546,0.0,0.0,1.0,1.0,brand_manufacturer,style,,,0,False,0.751,0.073,0.18,0.0,0.318,0.238,0.701,0.753,0.655,0.4211,175,True
