handle,n_reels_in_topics,max_views,median_views,sum_views,n_topics,topics
buondesign.az,1,51900,51900,51900,2,minimalist-art-deco-interior-design;neoclassical-interior
travel_moroccan,1,51700,51700,51700,1,marrakech-riad
therealtonyspriggs,1,51500,51500,51500,1,lake-house
hemby.capital,1,51500,51500,51500,1,dubai-penthouse
pristinelandscapesinc,1,51300,51300,51300,1,luxury-garden
herlinmill,1,51200,51200,51200,1,rain-sounds
aadhunik.estates,1,50900,50900,50900,1,luxury-apartment
luxuryworldtraveler,1,50800,50800,50800,1,underwater-hotel
homewithmichiii,1,50500,50500,50500,1,cozy-bedroom-ideas
ecooutdoor,1,50400,50400,50400,3,desert-house;desert-house-interior-design-ideas;desert-modern-house-tours
conceptual_interior_studio,1,50300,50300,50300,1,kids-room-design
pooneh.abbaszadeh,1,50000,50000,50000,2,modern-classic-interior-design;neoclassical-interior
niceplacela,1,50000,50000,50000,2,houses-on-malibu-beach;malibu-house
airwaveav,1,49900,49900,49900,1,home-theater
nainitalinterior,1,49700,49700,49700,1,kids-room-design
respinahotel,1,49700,49700,49700,1,hotel-design
katefulller,1,49500,49500,49500,1,coastal-bedroom-design-ideas
thewhitethistle,1,49300,49300,49300,1,glamping-ideas
arihantpaintindustries,1,48900,48900,48900,1,ai-home-design
mozhgan_arch,1,48600,48600,48600,1,industrial-interior
tacticallyprepped,1,48500,48500,48500,2,inside-underground-bunker-house;underground-house
shelbychurch,1,48300,48300,48300,1,los-angeles-house
aluxuryinterior,1,47800,47800,47800,1,luxury-interior-design
lisahuhome,1,47600,47600,47600,1,scandinavian-interior-design
brutalistbrunch,1,47600,47600,47600,1,boutique-hotel
vifa.dekorasi,1,47600,47600,47600,1,japandi-serenity-bedroom-design-ideas
decorworld_interiorsolution,1,47300,47300,47300,2,dream-kitchen;luxury-kitchen-design
nestledstays,1,47100,47100,47100,1,lake-house
newyorkcity4all,1,46500,46500,46500,1,best-rooftop-pools
lifetime_interior_design,2,46400,32550,65100,3,luxury-living-room;luxury-living-room-design;luxury-real-estate-mansion-exterior
columbine_cornwebb,1,46300,46300,46300,1,mykonos
mariela.goldfarb,1,46100,46100,46100,1,green-minimalist-interior-design
paigunna,1,45700,45700,45700,1,overwater-villa
designopolis_,1,45700,45700,45700,1,ai-generated-architecture-designs
tatlondono,1,45400,45400,45400,1,real-estate
themillionaires_mindset,2,45200,39700,79400,2,future-house;mansion-tour
esoarch,1,44900,44900,44900,2,ai-generated-architecture-designs;midjourney-architecture
luxuife,1,44800,44800,44800,1,luxury-life
vitrinedamorati,1,44800,44800,44800,1,industrial-chic-interior-design
ayesha_realtor1122,1,44600,44600,44600,1,dubai-villa
maldivesluxury_escape,1,44600,44600,44600,1,maldives-resort
katevera.creative,1,44600,44600,44600,1,ai-interior-design
alpine_manor,1,44500,44500,44500,1,desert-modern-house-tours
baltik_barn,1,44300,44300,44300,1,container-home-luxury-models-2026
myauraview,1,44200,44200,44200,1,quiet-luxury
livinglesh,1,44000,44000,44000,1,boutique-hotel
nelsongonzalezmiami,1,43900,43900,43900,1,miami-mansion
dwell.scape,1,43900,43900,43900,1,future-houses-2050
visitors_saudi,1,43800,43800,43800,1,saudi-arabia-architecture
malik_the_realtor,1,43700,43700,43700,1,luxury-master-bedroom
amnova_2,1,43500,43500,43500,1,desert-house
billandbryanteam,1,43400,43400,43400,1,miami-mansion
warntv,1,43100,43100,43100,1,aspen
vizcept,1,42200,42200,42200,1,santorini-villa
crownscape_official,1,42000,42000,42000,1,waterfall-house
shilanyas_architects,1,41800,41800,41800,2,hotel-room-interior-design-ideas;hotel-suite-design-ideas
little_dreamy_mist,2,41500,25900,51800,3,ai-cozy-cabin;cozy-bedroom-ideas;cozy-cabin-in-the-snow
mccleandesign,2,41400,32250,64500,2,beverly-hills-mansion;los-angeles-house
nkey.architects,1,41400,41400,41400,1,dubai-luxury-interior-design-trends
casaardolino,1,41200,41200,41200,1,dark-academia-home-library
container_home_designs,1,40500,40500,40500,1,desert-house
aman.shai.xox,1,40500,40500,40500,1,como-lake-villas
zayns.visual,1,40400,40400,40400,1,ai-house
than.beb,1,39900,39900,39900,1,desert-house
hiking.croatia,1,39800,39800,39800,1,mountain-house
eng.osamaabbad.id,1,39700,39700,39700,1,modern-mediterranean-houses
thecasaserrano,1,39600,39600,39600,1,industrial-chic-interior-design
successvisi0n,1,39500,39500,39500,1,future-house
nest.italy,1,39500,39500,39500,1,luxury-homes-on-the-amalfi-coast
ceosayavethinteriors_and_hotel,1,39400,39400,39400,1,luxury-hotel-suite
jumimedia,1,39300,39300,39300,1,arctic-treehouse-hotel-rovaniemi
chandigarh_luxury_house,1,38400,38400,38400,1,luxury-bedroom-design
hiddenpinescabins,1,38300,38300,38300,1,luxury-cabin
sawsanhaber,1,38000,38000,38000,1,dubai-luxury-interior-design-trends
anthonylopez.rd,1,37700,37700,37700,1,beach-house
earth_esence,2,37600,34300,68600,3,glass-house;glass-house-photos;mountain-house
suns.lifestyle,1,37400,37400,37400,1,outdoor-kitchen
bazaa.interiors,1,37400,37400,37400,1,industrial-chic-interior-design
breakbali,1,37100,37100,37100,1,bali-villa
edlyngnzlv,1,37000,37000,37000,1,house-tour
beautyofinteriors,1,36600,36600,36600,3,luxury-apartment-interior-design-ideas-2026;luxury-interior;modern-luxury-house-interiors
arquitetodebolso,1,36400,36400,36400,1,industrial-chic-interior-design
mr.vilensky,1,36400,36400,36400,1,desert-modern-house-tours
black_diamond_tirana,1,36400,36400,36400,1,luxury-hotel-suite
cypressbuildingsolution,1,36200,36200,36200,1,rooftop-terrace
alexandratravellover,1,36100,36100,36100,2,como-lake-villas;lake-como-villa
bespokehomecinemas,1,35900,35900,35900,1,home-theater
dubailuxuryvibes,1,35800,35800,35800,1,luxury-bedroom
cozy.nook10,1,35800,35800,35800,1,future-home
bellavita.italia,1,35700,35700,35700,1,luxury-homes-on-the-amalfi-coast
mi.mi.okinawa,1,35700,35700,35700,1,glass-house-in-forest
enrriquesdesign,1,35500,35500,35500,1,ai-render
ai_dream_life_1,1,35000,35000,35000,1,ai-house
bae.interiors,1,35000,35000,35000,1,luxury-apartment-interior-design-ideas-2026
_brooklyn_22,1,34900,34900,34900,1,dream-closet
ringchen.aesthetics.gallery,1,34800,34800,34800,1,luxury-furniture
wabisabiqiaozhuo,1,34600,34600,34600,1,wabi-sabi-japandi-interior-design
resortstv,1,34300,34300,34300,1,luxury-resort
aframedaily,1,34200,34200,34200,2,a-frame-cabin;a-frame-modern-cabins
nature_cozy_vibe,2,34200,24400,48800,5,cliff-house;forest-house;glass-house;glass-house-photos;house-in-the-forest
clearcreekcollective,2,33900,30000,60000,3,organic-modern;scandinavian-interior-design;scandinavian-interior-design-styles
konars.design,1,33900,33900,33900,2,futuristic-house;futuristic-houses
mactechconstructions,1,33600,33600,33600,1,rooftop-pool
chaletworldwide,1,33600,33600,33600,1,bali-infinity-pool-villas
aura_interiordesigns,1,33500,33500,33500,1,hotel-room-interior-design-ideas
deqoa_,1,33200,33200,33200,1,minimalist-interior
aggil_furniture,1,33200,33200,33200,1,luxury-furniture
realms_group,1,33100,33100,33100,1,best-rooftop-pools
world_manor,1,32900,32900,32900,1,luxury-master-bedroom
glasshouseabuja,1,32900,32900,32900,1,glass-house
taikinishimuraaaa,1,32900,32900,32900,1,tokyo-apartment
bunnings,1,32700,32700,32700,1,glamping-ideas
onezerostudio.in,1,32400,32400,32400,2,luxury-bathroom-interior-design-inspiration;quiet-luxury-bathroom
theluxurylaunch,1,32300,32300,32300,2,luxury-house;ultra-modern-luxury-house-design
mestre.das.piscinas,1,32200,32200,32200,1,infinity-pools
fullonshreya,1,32100,32100,32100,1,interior-styling
shellsdxb,1,32000,32000,32000,2,hotel-suite-design-ideas;luxury-hotel-room
meraz_king_house,1,32000,32000,32000,1,dream-house-design
dreamfibre,1,31900,31900,31900,1,surreal-architecture
bookstack_and_lattes,1,31800,31800,31800,1,home-library
our.chitecture,1,31800,31800,31800,1,wabi-sabi-interior
kristenbridger_interiors,1,31700,31700,31700,1,coastal-bedroom-design-ideas
vojtek_morsztyn,3,31500,31500,31500,3,forest-house;glass-house-photos;waterfall-house
the._cozynook,1,31500,31500,31500,1,cozy-room
the_bbq_store,1,31300,31300,31300,1,outdoor-kitchen
sandymakessense,1,31300,31300,31300,1,unique-airbnb
latigavilla,1,31300,31300,31300,1,villa-with-pool
talallabluebeachvilla,1,31100,31100,31100,1,santorini-villa
wander,1,31100,31100,31100,1,houses-on-malibu-beach
siddhijagtap___,1,31100,31100,31100,1,villa-with-pool
keirashomecollective,1,30900,30900,30900,1,organic-modern
designandcurations,1,30600,30600,30600,1,home-office-design
buttercreme.home,1,30400,30400,30400,1,minimalist-interior
mbasirrahmani,1,30400,30400,30400,1,futuristic-architecture-designs-2026
stylewithsanaz,1,30300,30300,30300,1,luxury-home-theater-ideas
danavillas.infinitysuites,1,30200,30200,30200,1,santorini-villa
skarduvalley,1,30100,30100,30100,1,hunza-valley-luxury-resorts
velvet_scenes,1,29900,29900,29900,1,future-house
tinyhouse__inspiration,1,29800,29800,29800,3,ai-generated-house;ai-house;ai-house-design
ene_builders_,1,29100,29100,29100,1,mediterranean-house
malyar.am_decor,1,29000,29000,29000,1,neoclassical-interior
feelingofluxury,1,28500,28500,28500,1,dubai-penthouse
the_build_up_m2l,1,28300,28300,28300,1,luxury-real-estate-mansion-exterior
jaan.boutiquehotel,1,28200,28200,28200,1,boutique-hotel
aruhrealestate,1,27900,27900,27900,1,tropical-house
meta_animate,1,27900,27900,27900,1,futuristic-interior
jaeomardesign,1,27900,27900,27900,1,malibu-house
cabinvision,1,27900,27900,27900,1,overwater-villa
step_designfirm,2,27800,17518,35036,2,hotel-suite-design-ideas;luxury-master-bedroom-interior-design
alayanaarchitects,1,27700,27700,27700,1,home-decor-ideas
rich_inrealestate,1,27700,27700,27700,1,los-angeles-house
pbs,1,27500,27500,27500,1,aspen
creativitysarahs,1,27500,27500,27500,2,biophilic-bedroom-design;japandi-serenity-bedroom-design-ideas
aspenideas,1,27400,27400,27400,1,aspen
jkconstruction.28,1,27400,27400,27400,1,biophilic-bedroom-design
studio_tigha,1,27200,27200,27200,1,desert-house-interior-design-ideas
shabbu_furniture_art,1,27100,27100,27100,1,rooftop-pool
blivilla.bali,1,27100,27100,27100,1,bali-villa
cookislands,1,27100,27100,27100,1,cook-islands-luxury-resorts
surnameplease,1,26900,26900,26900,2,luxury-hotel-room;luxury-hotel-suite
christiesrealestate,1,26800,26800,26800,1,ibiza-villa
melaniejadedesign,1,26800,26800,26800,1,industrial-chic-interior-design
nickmaddockglobal,1,26700,26700,26700,1,marrakech-riad
jonny.melon,1,26600,26600,26600,1,marrakech-riad
aakar_architects_28,1,26400,26400,26400,1,biophilic-bedroom-design
jade_lostinbeauty_,1,26200,26200,26200,1,boutique-hotel
aparnadecors,1,26200,26200,26200,1,green-minimalist-interior-design
randyspage,1,25900,25900,25900,1,cook-islands-luxury-resorts
novelhomedecor,1,25600,25600,25600,1,luxury-furniture
andulsia_venue,1,25500,25500,25500,1,glass-house
galenahaven,1,25500,25500,25500,1,unique-airbnb
arctictreehousehotel,1,25400,25400,25400,1,arctic-treehouse-hotel-rovaniemi
osnova.des,1,25300,25300,25300,1,minimalist-interior
ahteshamvlog_012,1,25300,25300,25300,1,best-rooftop-pools
er.interio01,1,25100,25100,25100,1,rooftop-terrace
comosegreta,1,25100,25100,25100,1,como-lake-villas
