handle,expected_handle,handle_mismatch,display_name,followers_text,followers,posts_text,posts,verified,sample_shortcode,sample_likes,sample_comments,source_url,fetched_at,status
decorworld_interiorsolution,decorworld_interiorsolution,False,decorworld_interiorsolution,96K,96000,971,971,unknown,DHQl-4tRCWP,459,9,https://www.instagram.com/reel/DHQl-4tRCWP/embed/captioned/,2026-09-25,VERIFIED
balcony_decorators,balcony_decorators,False,balcony_decorators,95K,95000,"4,189",4189,no,DMITF2GoBfh,354,,https://www.instagram.com/reel/DMITF2GoBfh/embed/captioned/,2026-09-25,VERIFIED
kuchecucina,kuchecucina,False,kuchecucina,93K,93000,917,917,no,DaS_liaNngq,,14,https://www.instagram.com/reel/DaS_liaNngq/embed/captioned/,2026-09-25,VERIFIED
realtordenisbibik,realtordenisbibik,False,realtordenisbibik,91K followers,91000,978 posts,978,unknown,DKHkvBlOzX7,15498,92,https://www.instagram.com/reel/DKHkvBlOzX7/embed/captioned/,2026-09-25,VERIFIED
casadelsimonsen,casadelsimonsen,False,casadelsimonsen,90K,90000,172,172,unknown,CtODnwQIefd,31307,162,https://www.instagram.com/reel/CtODnwQIefd/embed/captioned/,2026-09-25,VERIFIED
the.princess.mini,the.princess.mini,False,the.princess.mini,90K,90000,"1,652",1652,unknown,DItw578RlXA,51478,419,https://www.instagram.com/reel/DItw578RlXA/embed/captioned/,2026-09-25,VERIFIED
sapphireluxuryhomes,sapphireluxuryhomes,False,sapphireluxuryhomes,89K,89000,"1,138",1138,unknown,DFflnKMPNeh,1308,,https://www.instagram.com/reel/DFflnKMPNeh/embed/captioned/,2026-09-25,VERIFIED
suns.lifestyle,suns.lifestyle,False,suns.lifestyle,87.0K,87000,"1,242",1242,no,DP0992EiL4L,355,,https://www.instagram.com/reel/DP0992EiL4L/embed/captioned/,2026-09-25,VERIFIED
perfect_decorss,perfect_decorss,False,perfect_decorss,83K,83000,999,999,no,DJtR3eFSnDe,4845,,https://www.instagram.com/reel/DJtR3eFSnDe/embed/captioned/,2026-09-25,VERIFIED
insmultiverse,insmultiverse,False,insmultiverse,79K followers,79000,453 posts,453,unknown,DLJtY_mt3sV,12964,1376,https://www.instagram.com/reel/DLJtY_mt3sV/embed/captioned/,2026-09-25,VERIFIED
abdullahaslanoglu_,abdullahaslanoglu_,False,abdullahaslanoglu_,68K,68000,133,133,unknown,C_DtJZ-KOmX,3614,166,https://www.instagram.com/reel/C_DtJZ-KOmX/embed/captioned/,2026-09-25,VERIFIED
amrusha.jain,amrusha.jain,False,amrusha.jain,63K,63000,787,787,unknown,DPUUxW6k8NP,4670,101,https://www.instagram.com/reel/DPUUxW6k8NP/embed/captioned/,2026-09-25,VERIFIED
lvclosetdesign,lvclosetdesign,False,lvclosetdesign,62K,62000,720,720,unknown,DQ77Qe_gSdS,63246,1654,https://www.instagram.com/reel/DQ77Qe_gSdS/embed/captioned/,2026-09-25,VERIFIED
mk_contrctor_and_builders,mk_contrctor_and_builders,False,mk_contrctor_and_builders,62K,62000,190,190,unknown,DbYWcQNvxsB,9653,2825,https://www.instagram.com/reel/DbYWcQNvxsB/embed/captioned/,2026-09-25,VERIFIED
roomify.design,roomify.design,False,roomify.design,62K followers,62000,152 posts,152,unknown,DXNO5bbDWVp,3738,1991,https://www.instagram.com/reel/DXNO5bbDWVp/embed/captioned/,2026-09-25,VERIFIED
malik_the_realtor,malik_the_realtor,False,malik_the_realtor,61K,61000,"7,670",7670,unknown,DS8LlZ8CB_D,652,,https://www.instagram.com/reel/DS8LlZ8CB_D/embed/captioned/,2026-09-25,VERIFIED
brittnietravellerdesign,brittnietravellerdesign,False,brittnietravellerdesign,60K,60000,228,228,unknown,DXsEYFpkl-z,5531,93,https://www.instagram.com/reel/DXsEYFpkl-z/embed/captioned/,2026-09-25,VERIFIED
kimeyle_home,kimeyle_home,False,kimeyle_home,58K followers,58000,378 posts,378,unknown,DQ9om1kiKQ3,21800,84,https://www.instagram.com/reel/DQ9om1kiKQ3/embed/captioned/,2026-09-25,VERIFIED
harebell_grove,harebell_grove,False,harebell_grove,48K,48000,531,531,unknown,C7CaH1YLr2G,724,147,https://www.instagram.com/reel/C7CaH1YLr2G/embed/captioned/,2026-09-25,VERIFIED
georgewu_udhkids,georgewu_udhkids,False,georgewu_udhkids,45K,45000,161,161,no,DV8L0eZJDPn,37913,157,https://www.instagram.com/reel/DV8L0eZJDPn/embed/captioned/,2026-09-25,VERIFIED
er.interio01,er.interio01,False,er.interio01,45K,45000,256,256,no,DWpzf3-D_Af,,,https://www.instagram.com/reel/DWpzf3-D_Af/embed/captioned/,2026-09-25,VERIFIED
decorrwitms,decorrwitms,False,decorrwitms,44K followers,44000,139 posts,139,no,DbLl2eEtYWH,,1281,https://www.instagram.com/reel/DbLl2eEtYWH/embed/captioned/,2026-09-25,VERIFIED
aveotasarim,aveotasarim,False,aveotasarim,44K followers,44000,47 posts,47,unknown,DV6MooqDA88,6298,64,https://www.instagram.com/reel/DV6MooqDA88/embed/captioned/,2026-09-25,VERIFIED
artemarmolcol,artemarmolcol,False,artemarmolcol,42K,42000,410,410,unknown,DN1ouM23jHl,359,18,https://www.instagram.com/reel/DN1ouM23jHl/embed/captioned/,2026-09-25,VERIFIED
rodnova_installation_,rodnova_installation_,False,rodnova_installation_,41K followers,41000,261 posts,261,unknown,DaxVmNVR4R1,34280,237,https://www.instagram.com/reel/DaxVmNVR4R1/embed/captioned/,2026-09-25,VERIFIED
vighnaharta_interiors,vighnaharta_interiors,False,vighnaharta_interiors,41K followers,41000,369 posts,369,no,DXgBqNESg88,1463,6,https://www.instagram.com/reel/DXgBqNESg88/embed/captioned/,2026-09-25,VERIFIED
eunique_furnitureng,eunique_furnitureng,False,eunique_furnitureng,41K,41000,208,208,no,DUBKoqsjGip,250,31,https://www.instagram.com/reel/DUBKoqsjGip/embed/captioned/,2026-09-25,VERIFIED
fromrawto_real,fromrawto_real,False,fromrawto_real,40K followers,40000,136 posts,136,unknown,DVGz_aNE_76,3987,,https://www.instagram.com/reel/DVGz_aNE_76/embed/captioned/,2026-09-25,VERIFIED
realm.of.rae,realm.of.rae,False,realm.of.rae,40K followers,40000,658 posts,658,no,DcQ7apMKk18,17537,219,https://www.instagram.com/reel/DcQ7apMKk18/embed/captioned/,2026-09-25,VERIFIED
interiorbymumbi,interiorbymumbi,False,interiorbymumbi,37K,37000,946,946,no,DX_7GgzRWxg,126,,https://www.instagram.com/reel/DX_7GgzRWxg/embed/captioned/,2026-09-25,VERIFIED
girardteam,girardteam,False,girardteam,34K,34000,"2,076",2076,unknown,C9FRKpjOSoi,275019,1541,https://www.instagram.com/reel/C9FRKpjOSoi/embed/captioned/,2026-09-25,VERIFIED
ghazale_siami,ghazale_siami,False,ghazale_siami,34K,34000,122,122,unknown,DExUPqcsNfS,144190,498,https://www.instagram.com/reel/DExUPqcsNfS/embed/captioned/,2026-09-25,VERIFIED
magadhinterior,magadhinterior,False,magadhinterior,34K followers,34000,130 posts,130,unknown,DZPeyiKTGkk,22954,21,https://www.instagram.com/reel/DZPeyiKTGkk/embed/captioned/,2026-09-25,VERIFIED
abcdjoinery,abcdjoinery,False,abcdjoinery,33K followers,33000,170 posts,170,unknown,DZbFAzLkp6Q,9481,91,https://www.instagram.com/reel/DZbFAzLkp6Q/embed/captioned/,2026-09-25,VERIFIED
cocinasintegralesjv,cocinasintegralesjv,False,cocinasintegralesjv,32K,32000,140,140,no,DJo4QLktHJz,546602,1007,https://www.instagram.com/reel/DJo4QLktHJz/embed/captioned/,2026-09-25,VERIFIED
civilengineernogesh,civilengineernogesh,False,civilengineernogesh,32K,32000,490,490,no,DIvtC5aP4VO,80,,https://www.instagram.com/reel/DIvtC5aP4VO/embed/captioned/,2026-09-25,VERIFIED
ulohlifestyl,ulohlifestyl,False,ulohlifestyl,31K,31000,214,214,unknown,DSew2hjjDVz,,42,https://www.instagram.com/reel/DSew2hjjDVz/embed/captioned/,2026-09-25,VERIFIED
petersoncabinetworks,petersoncabinetworks,False,petersoncabinetworks,29K,29000,519,519,unknown,DAGRW5NPUo1,84112,480,https://www.instagram.com/reel/DAGRW5NPUo1/embed/captioned/,2026-09-25,VERIFIED
luxoraify,luxoraify,False,luxoraify,29K,29000,215,215,no,DZo_K7KAw46,1091,,https://www.instagram.com/reel/DZo_K7KAw46/embed/captioned/,2026-09-25,VERIFIED
goldconconstruction,goldconconstruction,False,goldconconstruction,27K followers,27000,"1,216 posts",1216,unknown,DTLteEoE2Z5,20734,388,https://www.instagram.com/reel/DTLteEoE2Z5/embed/captioned/,2026-09-25,VERIFIED
huisjeopdevloet,huisjeopdevloet,False,huisjeopdevloet,24K followers,24000,59 posts,59,unknown,DYT8ySTsBbx,4216,156,https://www.instagram.com/reel/DYT8ySTsBbx/embed/captioned/,2026-09-25,VERIFIED
bookstack_and_lattes,bookstack_and_lattes,False,bookstack_and_lattes,24K,24000,122,122,unknown,DcECxF-PDIn,1612,60,https://www.instagram.com/reel/DcECxF-PDIn/embed/captioned/,2026-09-25,VERIFIED
mipropertiespk,mipropertiespk,False,mipropertiespk,24K,24000,967,967,unknown,DTVIpD3CAr_,112,,https://www.instagram.com/reel/DTVIpD3CAr_/embed/captioned/,2026-09-25,VERIFIED
beliani_nl,beliani_nl,False,beliani_nl,24K,24000,"3,776",3776,yes,CxUxzLQoaA8,10,,https://www.instagram.com/reel/CxUxzLQoaA8/embed/captioned/,2026-09-25,VERIFIED
airwaveav,airwaveav,False,airwaveav,23.2K,23200,329,329,unknown,DFOV5cOg8yV,1066,22,https://www.instagram.com/reel/DFOV5cOg8yV/embed/captioned/,2026-09-25,VERIFIED
pmkpod,pmkpod,False,pmkpod,23K,23000,206,206,unknown,DUNWW5NiL9l,40983,246,https://www.instagram.com/reel/DUNWW5NiL9l/embed/captioned/,2026-09-25,VERIFIED
theelitespaces,theelitespaces,False,theelitespaces,22K,22000,639,639,unknown,C-M7VT2POMk,,50,https://www.instagram.com/reel/C-M7VT2POMk/embed/captioned/,2026-09-25,VERIFIED
ocho.design.studio_,ocho.design.studio_,False,ocho.design.studio_,21K,21000,164,164,unknown,DaZa5j4o8dZ,13704,168,https://www.instagram.com/reel/DaZa5j4o8dZ/embed/captioned/,2026-09-25,VERIFIED
mrsbarbarankansah,mrsbarbarankansah,False,mrsbarbarankansah,21K,21000,686,686,unknown,DTf7ZD1CVPR,851,533,https://www.instagram.com/reel/DTf7ZD1CVPR/embed/captioned/,2026-09-25,VERIFIED
hansendesignfirm,hansendesignfirm,False,hansendesignfirm,21K,21000,640,640,unknown,DMJicRauZ4W,288,,https://www.instagram.com/reel/DMJicRauZ4W/embed/captioned/,2026-09-25,VERIFIED
modern__furnitures,modern__furnitures,False,modern__furnitures,20K,20000,688,688,no,DcVdJrDOnzB,100,,https://www.instagram.com/reel/DcVdJrDOnzB/embed/captioned/,2026-09-25,VERIFIED
wolferizorinteriors,wolferizorinteriors,False,wolferizorinteriors,20K,20000,917,917,unknown,DXXJ9nPkcxp,,,https://www.instagram.com/reel/DXXJ9nPkcxp/embed/captioned/,2026-09-25,VERIFIED
hometrendyhome,hometrendyhome,False,hometrendyhome,19K,19000,563,563,no,DH0tlhWsXNM,353,,https://www.instagram.com/reel/DH0tlhWsXNM/embed/captioned/,2026-09-25,VERIFIED
lee__desksetup,lee__desksetup,False,lee__desksetup,18K followers,18000,252 posts,252,no,DF221_nzn78,10879,76,https://www.instagram.com/reel/DF221_nzn78/embed/captioned/,2026-09-25,VERIFIED
atelier.karolina,atelier.karolina,False,atelier.karolina,18K followers,18000,72 posts,72,unknown,DVyzy-UEabK,3309,47,https://www.instagram.com/reel/DVyzy-UEabK/embed/captioned/,2026-09-25,VERIFIED
dreamvibes_9,dreamvibes_9,False,dreamvibes_9,18K,18000,196,196,no,DU_TlESjCav,889,83,https://www.instagram.com/reel/DU_TlESjCav/embed/captioned/,2026-09-25,VERIFIED
alusmaninteriorsarchitect,alusmaninteriorsarchitect,False,alusmaninteriorsarchitect,17K followers,17000,534 posts,534,unknown,DWrHl_2jO-b,19664,61,https://www.instagram.com/reel/DWrHl_2jO-b/embed/captioned/,2026-09-25,VERIFIED
sahasrarafurnitures,sahasrarafurnitures,False,sahasrarafurnitures,17K followers,17000,230 posts,230,no,DWb-eEKk6TQ,5307,14,https://www.instagram.com/reel/DWb-eEKk6TQ/embed/captioned/,2026-09-25,VERIFIED
pocketathome,pocketathome,False,pocketathome,17K,17000,130,130,no,DXFScnhjSSh,,17,https://www.instagram.com/reel/DXFScnhjSSh/embed/captioned/,2026-09-25,VERIFIED
