handle,n_reels_sample,followers,posts,median_views,max_views,sum_views,median_vpf,max_vpf,median_topic_index,median_adj_factor,first_post_seen,last_post_seen,topics,account_kind,production_mode,style_mode,room_mode,realism_mode,language_mode,share_ai_generated,top_reel_url,instagram_url,follower_status,views_status
shri_bk_babu,1,355000.0,127.0,26800000.0,26800000.0,26800000.0,75.49295774647888,75.49295774647888,9.084745762711865,8.618607211661956,2026-06-18T03:49:22.548000+00:00,2026-06-18T03:49:22.548000+00:00,modern-architecture,ai_creator,ai_generated,other,exterior_facade,fantasy_impossible,en,1.0,https://www.instagram.com/reel/DZtnXgNxk_G/,https://www.instagram.com/shri_bk_babu/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
diniz_nasaroba,2,293000.0,52.0,13100000.0,25000000.0,26200000.0,44.7098976109215,85.32423208191126,15.477351055211523,8.43247152052142,2026-03-27T15:02:12.746000+00:00,2026-03-30T14:47:44.393000+00:00,garden-design;luxury-garden,ai_creator,ai_generated,tropical,garden_landscape,aspirational_realistic,en,1.0,https://www.instagram.com/reel/DWZGY4YjvrK/,https://www.instagram.com/diniz_nasaroba/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
sunt_mrr,9,2000000.0,728.0,2900000.0,24500000.0,48324900.0,1.45,12.25,20.78108204944464,3.090435969563165,2024-09-04T12:06:50.509000+00:00,2026-04-30T16:54:54.191000+00:00,ai-generated-house;ai-house-design;bali-infinity-pool-villas;bali-luxury-villas-with-private-pools;cliff-house;faroe-islands-luxury-villas;future-house;futuristic-houses;overwater-villa;tropical-house-architecture-styles;underwater-hotel;waterfall-house,ai_creator,ai_generated,tropical,exterior_facade,stylized_dreamy,en,1.0,https://www.instagram.com/reel/DNS1_gYMh2a/,https://www.instagram.com/sunt_mrr/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
elitebuildhq,6,2000000.0,317.0,4000000.0,24000000.0,49977000.0,2.0,12.0,7.080430235048015,2.666877541903806,2026-04-09T00:08:51.968000+00:00,2026-07-31T17:16:01.279000+00:00,ai-generated-house;container-home-luxury-models-2026;inside-underground-bunker-house;modern-architecture;underground-house,theme_page,ai_generated,industrial,exterior_facade,aspirational_realistic,en,0.6666666666666666,https://www.instagram.com/reel/DW4-fMTiB96/,https://www.instagram.com/elitebuildhq/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
cocinasintegralesjv,1,32000.0,140.0,24000000.0,24000000.0,24000000.0,750.0,750.0,192.30769230769232,78.78081828044174,2025-05-14T15:18:24.930000+00:00,2025-05-14T15:18:24.930000+00:00,walk-in-closet,contractor_trade,real_footage,modern_luxury,closet,real_existing,es,0.0,https://www.instagram.com/reel/DJo4QLktHJz/,https://www.instagram.com/cocinasintegralesjv/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
kohlectcabins,2,434000.0,1624.0,11935300.0,23800000.0,23870600.0,0.16267281105990783,0.16267281105990783,31.406635016211208,0.13975059957594485,2024-07-20T17:43:56.740000+00:00,2026-01-18T13:40:22.776000+00:00,cozy-cabin;mountain-house,theme_page,ai_generated,rustic_cozy,exterior_facade,stylized_dreamy,en,0.5,https://www.instagram.com/reel/C9p0BU1v_q-/,https://www.instagram.com/kohlectcabins/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
lisi.quietdiaries,2,153000.0,128.0,11412000.0,22700000.0,22824000.0,74.58823529411765,148.36601307189542,20.234042553191486,14.815175755564129,2025-11-08T20:34:21.483000+00:00,2026-02-26T21:17:14.664000+00:00,quiet-luxury,lifestyle_influencer,real_footage,minimalist,living_room,real_existing,en,0.0,https://www.instagram.com/reel/DQzx59pEsqO/,https://www.instagram.com/lisi.quietdiaries/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
wayup_media,12,942000.0,3170.0,3050000.0,22700000.0,64442000.0,3.2412327311370883,24.12327311370882,6.183365546480454,2.2285119902504724,2022-12-02T14:03:51.170000+00:00,2026-09-10T12:59:42.505000+00:00,desert-modern-house-tours;dream-home;dream-house;futuristic-house;jamesedition-luxury-homes;luxury-homes;luxury-house-tour;luxury-mansion;luxury-real-estate;luxury-real-estate-mansion-exterior;mansion-tour;mountain-house;real-estate;ultra-modern-luxury-house-design,media_publication,real_footage,modern_luxury,exterior_facade,real_existing,en,0.0,https://www.instagram.com/reel/DQ4OUB3Di0Y/,https://www.instagram.com/wayup_media/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
poool__creator,1,344000.0,115.0,22100000.0,22100000.0,22100000.0,64.24418604651163,64.24418604651163,26.388059701492537,13.141249926730882,2026-03-20T22:02:08.780000+00:00,2026-03-20T22:02:08.780000+00:00,garden-design,contractor_trade,real_footage,other,garden_landscape,real_existing,en,0.0,https://www.instagram.com/reel/DWH04cZjysm/,https://www.instagram.com/poool__creator/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
iz__designs,1,109000.0,74.0,21900000.0,21900000.0,21900000.0,200.91743119266056,200.91743119266056,23.422459893048128,80.78489018618465,2024-05-07T17:17:34.448000+00:00,2024-05-07T17:17:34.448000+00:00,ai-interior-design;ai-interior-designer,designer_studio,3d_render,modern_luxury,living_room,aspirational_realistic,en,0.0,https://www.instagram.com/reel/C6rOLbLriyx/,https://www.instagram.com/iz__designs/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
feliciaheesen,1,1000000.0,516.0,21800000.0,21800000.0,21800000.0,21.8,21.8,15.571428571428571,4.105165074122895,2026-03-12T16:16:59.677000+00:00,2026-03-12T16:16:59.677000+00:00,home-decor-ideas,lifestyle_influencer,real_footage,other,other,real_existing,en,0.0,https://www.instagram.com/reel/DVynBeiCoLa/,https://www.instagram.com/feliciaheesen/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
magnitudeconstruction,1,115000.0,1473.0,21100000.0,21100000.0,21100000.0,183.47826086956522,183.47826086956522,74.95559502664298,52.87313833691576,2024-12-20T15:55:08.139000+00:00,2024-12-20T15:55:08.139000+00:00,luxury-villa,contractor_trade,real_footage,modern_luxury,pool,real_existing,en,0.0,https://www.instagram.com/reel/DDzlMQJCaJL/,https://www.instagram.com/magnitudeconstruction/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
nicolemsunderland,2,,,10547150.0,21000000.0,21094300.0,,,12.667219780275492,,2023-12-21T01:35:48.894000+00:00,2025-03-18T00:18:28.676000+00:00,bora-bora-luxury-hotels;overwater-villa,,,,,,,,https://www.instagram.com/reel/C1GMtBitz8c/,https://www.instagram.com/nicolemsunderland/,UNKNOWN,"VERIFIED (public topic pages; sample, not full account history)"
castlepics,1,,,20000000.0,20000000.0,20000000.0,,,1.702127659574468,,2026-02-06T08:49:59.265000+00:00,2026-02-06T08:49:59.265000+00:00,architecture,,,,,,,,https://www.instagram.com/reel/DUaQ1wEApi4/,https://www.instagram.com/castlepics/,UNKNOWN,"VERIFIED (public topic pages; sample, not full account history)"
ghstudio._,1,928000.0,759.0,19700000.0,19700000.0,19700000.0,21.228448275862068,21.228448275862068,29.27191679049034,13.632659940017039,2025-10-15T06:29:43.490000+00:00,2025-10-15T06:29:43.490000+00:00,house-in-the-forest,other,unclear,other,other,fantasy_impossible,en,0.0,https://www.instagram.com/reel/DP0eKr0joHI/,https://www.instagram.com/ghstudio._/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
jiqbalrealtor,1,110000.0,28.0,19500000.0,19500000.0,19500000.0,177.27272727272728,177.27272727272728,13.0,13.995300159259005,2023-10-07T16:10:06.660000+00:00,2023-10-07T16:10:06.660000+00:00,luxury-penthouse,real_estate,real_footage,minimalist,stairs_hall,real_existing,en,0.0,https://www.instagram.com/reel/CyGpI71u_QA/,https://www.instagram.com/jiqbalrealtor/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
sanyamboraarchitects,1,32000.0,96.0,19300000.0,19300000.0,19300000.0,603.125,603.125,1.6425531914893616,2.561367535507891,2026-04-07T14:11:10.547000+00:00,2026-04-07T14:11:10.547000+00:00,architecture,designer_studio,ai_generated,other,bathroom,aspirational_realistic,en,1.0,https://www.instagram.com/reel/DW1VSs9DdYd/,https://www.instagram.com/sanyamboraarchitects/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
