shortcode,handle,views,views_text,topics,caption,url,source
DGQYtSbOz6S,longingtocomehome,36000000,36M,home-library,DIY Dreamy Home Library 📚 The most common question we get about our library is how we built the shelves! The construction is pretty simple using 1x10,https://www.instagram.com/reel/DGQYtSbOz6S/,https://www.instagram.com/popular/home-library/
DHBihXfMPDA,aiforarchitects,34700000,34.7M,luxury-mansion,Mansion in Dubai: Experience ultra-modern elegance and unparalleled luxury with our black concept design. By @aiforarchitects 🖤🏡 #DubaiLuxury #UltraLu,https://www.instagram.com/reel/DHBihXfMPDA/,https://www.instagram.com/popular/luxury-mansion/
DXVKtYnjXXe,elysian__living,34000000,34M,rainy-day,the weather my soul craves ⛈️ comment RAIN for 🔗s to everything 🤍 #rainyday,https://www.instagram.com/reel/DXVKtYnjXXe/,https://www.instagram.com/popular/rainy-day/
DSxsu7HiQdV,archstudent.marteen,32000000,32M,architecture,few clips of my assignments from first semester #architecture #architecturestudent #modelbuilding #firs,https://www.instagram.com/reel/DSxsu7HiQdV/,https://www.instagram.com/popular/architecture/
DVgIXfOiIOq,nice_tower,31500000,31.5M,architecture,The fastest way to create a staircase in a rounded corner using the Shape Bender plugin in SketchUp,https://www.instagram.com/reel/DVgIXfOiIOq/,https://www.instagram.com/popular/architecture/
C2P_zWltLff,pupina,29000000,29M,amalfi-coast,Amalfi Coast in 48h ITALY 🇮🇹🛵💛 State organizzando una vacanza in costiera? Ecco cosa fare in 48h,https://www.instagram.com/reel/C2P_zWltLff/,https://www.instagram.com/popular/amalfi-coast/
C25OoI1IRag,homebyhyla,28600000,28.6M,ai-home-design;ai-interior;ai-interior-design;ai-interior-designer,"Projet L🍂 . Une pièce, deux angles ✨ . Designed by me @jb.interieurs .",https://www.instagram.com/reel/C25OoI1IRag/,https://www.instagram.com/popular/ai-interior-design/
Db_Rbvopxsw,north_cascades_haven,27900000,27.9M,cozy-cabin-in-the-snow,Who's ready for this?❄️🌨️🤍 #winter #cabin #snow #river #pnw,https://www.instagram.com/reel/Db_Rbvopxsw/,https://www.instagram.com/popular/cozy-cabin-in-the-snow/
DZtnXgNxk_G,shri_bk_babu,26800000,26.8M,modern-architecture,This old and forgotten house has now been transformed into a modern luxury space. Every corner h,https://www.instagram.com/reel/DZtnXgNxk_G/,https://www.instagram.com/popular/modern-architecture/
DWZGY4YjvrK,diniz_nasaroba,25000000,25M,garden-design,"Turn Your Yard Into a Paradise with This DIY Garden Hack! Stop scrolling! If you want to level up your landscaping, you need to see this. Using just a",https://www.instagram.com/reel/DWZGY4YjvrK/,https://www.instagram.com/popular/garden-design/
DNS1_gYMh2a,sunt_mrr,24500000,24.5M,bali-luxury-villas-with-private-pools,Luxury Ubud infinity villa . . . . . . . . . . . . . #midjourney #mariadudkina #luxuryinteriors #villa #bali #houses,https://www.instagram.com/reel/DNS1_gYMh2a/,https://www.instagram.com/popular/bali-luxury-villas-with-private-pools/
DJo4QLktHJz,cocinasintegralesjv,24000000,24M,walk-in-closet,#carpinteriaarquitectonica #walkingcloset #carpinteria #closets #closetbucaramanga #diseñodeinte,https://www.instagram.com/reel/DJo4QLktHJz/,https://www.instagram.com/popular/walk-in-closet/
DW4-fMTiB96,elitebuildhq,24000000,24M,modern-architecture,The Evolution of Luxury: The Living Garden Garage. 🌿🏎️ Witness the seamless blend of mode,https://www.instagram.com/reel/DW4-fMTiB96/,https://www.instagram.com/popular/modern-architecture/
C9p0BU1v_q-,kohlectcabins,23800000,23.8M,cozy-cabin,Yes or No?! 😍🏡🪵 💟 Follow @kohlectcabins for more! #cabin #cabinlife #c,https://www.instagram.com/reel/C9p0BU1v_q-/,https://www.instagram.com/popular/cozy-cabin/
DQzx59pEsqO,lisi.quietdiaries,22700000,22.7M,quiet-luxury,a quiet life feels like home #aesthetic #quietlife #slowlife,https://www.instagram.com/reel/DQzx59pEsqO/,https://www.instagram.com/popular/quiet-luxury/
DQ4OUB3Di0Y,wayup_media,22700000,22.7M,luxury-homes,"BOOM 💥 Dream home unlocked. This luxury build has a front courtyard and water features leading up to the entrance. The backyard has a sports court, so",https://www.instagram.com/reel/DQ4OUB3Di0Y/,https://www.instagram.com/popular/luxury-homes/
DWH04cZjysm,poool__creator,22100000,22.1M,garden-design,🌸 From nothing to perfection: this garden turned out insane! #GardenTransformation #DIYGarden #BackyardDesign #SatisfyingBuild #LandscapeDesign,https://www.instagram.com/reel/DWH04cZjysm/,https://www.instagram.com/popular/garden-design/
C6rOLbLriyx,iz__designs,21900000,21.9M,ai-interior-design;ai-interior-designer,New reel for livingroom Design & Render : @iz__designs Tell me What your thoughts,https://www.instagram.com/reel/C6rOLbLriyx/,https://www.instagram.com/popular/ai-interior-design/
DVynBeiCoLa,feliciaheesen,21800000,21.8M,home-decor-ideas,DIY Flower mirror 🌸🪞✨ #craft #creative #diy #handmade #homedecorideas cute craft handmade room decor inspiration,https://www.instagram.com/reel/DVynBeiCoLa/,https://www.instagram.com/popular/home-decor-ideas/
DDzlMQJCaJL,magnitudeconstruction,21100000,21.1M,luxury-villa,"Bringing Your Dream Villa to Life ✨ At Magnitude, every villa tells a story",https://www.instagram.com/reel/DDzlMQJCaJL/,https://www.instagram.com/popular/luxury-villa/
C1GMtBitz8c,nicolemsunderland,21000000,21M,overwater-villa,Best overwater villas 🥰🤯 #passportbyforbes #mydomainetravels #Tastemademedoit #iamatraveler #forbestravelguide,https://www.instagram.com/reel/C1GMtBitz8c/,https://www.instagram.com/popular/overwater-villa/
DUaQ1wEApi4,castlepics,20000000,20M,architecture,Cologne Cathedral (Kölner Dom) is one of Europe's most awe-inspiring Gothic masterpieces and a symbo,https://www.instagram.com/reel/DUaQ1wEApi4/,https://www.instagram.com/popular/architecture/
